id,text,created_at,baseline_sentiment,bert_sentiment
1910179847722201381,"@alyciarccaz Hello, I know you might be surprised it’s me Elon Musk the CEO of Tesla himself follow me back on this I’d @TESLA1_CARS_mod now I have a suprise for you 🚀❤️",2025-04-10 03:55:39+00:00,positive,negative
1910179826503385480,@jaminwestby @Ford @Tesla Nice! Do the bed outlets time out at all on the Lightning?,2025-04-10 03:55:34+00:00,positive,negative
1910179804525064595,"#CryрtoРump🔥

➜ https://t.co/VsA4amQsi4

📈 Make 150-250% within MINUTES! 🚀

Jmoy9H6G @ArcheBesa @ThinkerThe26147 @alaminsony99 @ChynaritaSan @puk1602 @ms_krnk @tesla_mac_50 @ChamsElkamel @byCNTRL @BichKim74571279 @yanin_blejer",2025-04-10 03:55:29+00:00,positive,negative
1910179797965386034,"@marie_leiss @SenAdamSchiff Tesla shares up 22% today.
Guess you’ll need the adjust your delusions now",2025-04-10 03:55:27+00:00,positive,negative
1910179788276609343,Liberal @Dodgers fans I am accepting your tickets for free for the @Cubs series this weekend. I will also take your @Tesla for free but give me a heads up so I can uber to Dodger stadium,2025-04-10 03:55:25+00:00,positive,negative
1910179786938364026,"@Nurs3Kimk Hello, I know you might be surprised it’s me Elon Musk the CEO of Tesla himself follow me back on this I’d @TESLA1_CARS_mod now I have a suprise for you 🚀❤️",2025-04-10 03:55:25+00:00,positive,negative
1910179750309679109,Tesla Stock Just Exploded Upwards https://t.co/t5iY1FSFak via @YouTube,2025-04-10 03:55:16+00:00,positive,negative
1910179743741124732,"#CryрtoРump🔥

➜ https://t.co/hNApp5fI8a

📈 Make 150-250% within MINUTES! 🚀

239EJVLF @Tesla_starship @daizhii @wobushitegon @BToy62 @shengge @deDios10 @TeslaSaoPaulo @JBossBC @2013Ilka @Mdbulbulahmad18 @AAtrissaw",2025-04-10 03:55:14+00:00,positive,negative
1910179742671909124,"@PDXFato Same thing they do always. Play fair. Match the raise and criticize it.
US exports is around 15% of total and around 2.5% of their GDP. They have been preparing for this. I feel sorry for those American companies that rely on Chinese things like Tesla and Apple https://t.co/uKwwuF3sQJ",2025-04-10 03:55:14+00:00,positive,negative
1910179741199454666,Tesla (TSLA) Stock: A Look at the Future https://t.co/mVTmaROyxj https://t.co/Kkp9SHIw7m,2025-04-10 03:55:14+00:00,positive,negative
1910179736375934979,"Leftist lunatic caught on camera throwing a bottle at a Tesla.

You know what to do internet! https://t.co/lvtMJeOzDe",2025-04-10 03:55:13+00:00,positive,negative
